,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
86,FDT59,OUT046,3701.161538866839
87,FDB23,OUT046,3587.328621426753
88,FDR49,OUT045,778.8833214334726
89,FDB03,OUT010,530.4430087887606
90,FDN39,OUT045,2857.552586569151
91,FDX02,OUT027,5795.964425076992
92,FDQ16,OUT027,2664.4180304665724
93,FDU35,OUT018,1292.6660463216033
94,NCT29,OUT013,1916.0248759123067
95,FDZ27,OUT046,786.1993646620217
96,FDN57,OUT017,2138.512208132947
97,FDA03,OUT018,2152.286959416629
98,FDZ36,OUT045,3072.8986867300073
99,NCU05,OUT013,1311.7480553250914
100,FDT39,OUT018,2326.613448562603
101,FDK60,OUT017,1599.106805157436
102,FDZ25,OUT017,2914.3755886324566
103,FDG12,OUT046,2145.065939096899
104,DRB01,OUT019,472.5883424206053
105,NCC43,OUT027,5992.511287681664
106,FDX13,OUT019,540.1439303275977
107,FDM22,OUT049,810.2481216240496
108,FDJ03,OUT027,1377.984576420266
109,FDU14,OUT018,3602.5466717739223
110,FDB33,OUT010,425.64966791541343
111,FDP27,OUT046,3268.122044991143
112,FDO38,OUT010,215.78084590237074
113,FDE28,OUT027,5884.3298086108825
114,FDO27,OUT035,1632.0871144423782
115,DRL23,OUT027,2662.3495162245363
116,FDS28,OUT046,849.5349894280615
117,FDX24,OUT013,1455.7194767733208
118,FDZ02,OUT035,1536.9235939968225
119,FDL46,OUT045,1801.8390280369613
120,FDS60,OUT027,5143.128223170766
121,NCO06,OUT017,576.4860720197038
122,FDO16,OUT035,1419.5142553059318
123,FDC60,OUT049,1502.4898280791447
124,FDA48,OUT018,3280.157159469015
125,FDZ36,OUT027,4504.09111334812
126,FDK27,OUT045,1983.4689783074025
127,FDW23,OUT018,623.4398067785744
128,FDM14,OUT018,1507.7297380822017
129,FDM14,OUT013,1709.1446532143573
130,FDW60,OUT018,2603.11790671995
131,FDE21,OUT013,2026.8545302085104
132,NCM42,OUT035,1800.7155441764971
133,FDY59,OUT010,224.70034270288048
134,DRI49,OUT049,1328.4155764323896
135,FDT28,OUT019,361.91471016205077
136,FDQ22,OUT018,630.8948039021861
137,FDR60,OUT049,1324.1988602543443
138,FDC50,OUT019,241.3877718119515
139,FDV24,OUT013,2354.8840119842534
140,DRF48,OUT010,577.8878635729692
141,FDQ47,OUT046,701.6735658087019
142,DRN36,OUT049,1592.5737397779767
143,NCY06,OUT035,2053.3600733915755
144,FDE52,OUT035,1398.8972922843104
145,NCB54,OUT045,1846.69501337578
146,NCF31,OUT035,2521.368443754908
147,FDJ08,OUT027,4986.757796202584
148,NCC07,OUT017,1710.279302326696
149,NCD19,OUT027,1483.9279113597163
150,FDL46,OUT049,2179.605994568443
151,FDM20,OUT045,4032.946696369804
152,NCI06,OUT010,442.04075819810873
153,DRM11,OUT035,4061.484329763369
154,NCH07,OUT018,2352.159041173567
155,FDS23,OUT013,2146.782461483272
156,FDO49,OUT018,666.6027618082308
157,FDS35,OUT049,1089.7341910161092
158,DRK39,OUT045,1354.5138558678657
159,DRI39,OUT049,838.5922855224428
160,FDV04,OUT017,2547.348033725919
161,NCN14,OUT035,3206.0627743254067
162,FDH08,OUT013,3795.017751581973
163,FDS20,OUT046,3197.491525955619
164,FDV40,OUT049,1140.3675994064906
165,FDZ48,OUT010,237.32355953704248
166,FDS24,OUT027,2463.05738191641
167,FDK44,OUT049,2870.9239853113327
168,FDS48,OUT045,2599.0264558322933
169,FDK26,OUT010,537.8048841682877
170,FDD23,OUT045,3364.272506938436
171,NCH54,OUT017,2760.7334822666926
172,NCP14,OUT010,236.5107599230477
173,FDM60,OUT010,121.86966057886794
174,FDV24,OUT017,2395.8601330013644
175,FDH08,OUT018,3352.3006204732023
176,FDS12,OUT027,3578.7376384081826
177,FDR39,OUT027,4955.911664492768
178,FDP12,OUT027,1367.509069982462
179,DRF60,OUT027,5929.664917820748
180,FDC09,OUT035,1607.3294033949721
181,FDF50,OUT018,2946.526410201354
182,FDG28,OUT035,3988.095379642583
183,NCE19,OUT017,817.360397725461
184,NCM53,OUT010,240.61934505783506
185,NCN18,OUT049,1825.265778542518
186,FDF32,OUT035,3076.8806654013374
187,FDF11,OUT013,3872.8618876271044
188,DRI59,OUT049,3760.280628449289
189,NCG54,OUT035,2865.390439104177
190,FDM44,OUT046,1589.113951188071
191,FDT57,OUT018,3364.848627510539
192,FDV24,OUT046,2369.459131051266
193,FDI50,OUT019,536.6444139803089
194,FDS09,OUT035,762.382386262114
195,NCC31,OUT027,3969.9236195195326
196,FDQ07,OUT019,508.66395681320677
197,FDC22,OUT017,3201.632785998641
198,FDZ56,OUT046,2813.9602948373195
199,FDZ40,OUT019,138.9650566831089
200,FDS46,OUT027,2839.967978175783
201,DRD24,OUT045,2064.405755671781
202,FDV45,OUT017,3112.148931748694
203,FDL26,OUT045,2677.5996003983328
204,FDA56,OUT018,1761.0294419808101
205,FDN27,OUT046,1937.8902241467836
206,FDM20,OUT049,4068.8755715789366
207,FDO16,OUT017,1386.7189063475835
208,FDL03,OUT035,3145.564589210414
209,FDE58,OUT046,1947.0183939282638
210,FDI02,OUT027,2849.7966772614936
211,NCC55,OUT019,129.54550615124833
212,FDR03,OUT018,3101.8296021555143
213,FDB14,OUT017,1520.418131291486
214,FDR45,OUT013,3916.547876893535
215,NCN07,OUT017,2154.2556598373503
216,FDM51,OUT019,264.6226053267563
217,FDT52,OUT027,5981.810408355525
218,FDL26,OUT046,2557.8041745930514
219,NCZ42,OUT046,3719.0802874645146
220,DRI47,OUT019,371.06357216943513
221,FDW40,OUT013,2226.9630464352863
222,FDN34,OUT046,2977.072750921359
223,FDS01,OUT035,3044.561507005972
224,NCG55,OUT045,1887.7959298120422
225,FDC11,OUT035,1363.2709560856879
226,FDX35,OUT018,3358.176066753898
227,NCB06,OUT046,2624.765520972647
228,FDR09,OUT019,573.2359807910397
229,FDC53,OUT017,1573.02009832515
230,FDY45,OUT013,4062.356480711117
231,FDA22,OUT010,438.69549977374186
232,FDE02,OUT035,1638.6689589908333
233,FDW21,OUT045,1793.9297050616128
234,FDV34,OUT046,1078.0469745164614
235,FDS59,OUT049,1832.8285520414688
236,NCW17,OUT017,2208.2448064085265
237,NCK54,OUT046,2015.352897910589
238,FDG17,OUT019,521.0311185662167
239,FDG35,OUT017,3040.346906322237
240,FDD08,OUT010,123.13399638200613
241,NCO07,OUT017,3619.79231789552
242,FDJ10,OUT010,300.0899995943263
243,FDW36,OUT017,1689.118179627009
244,FDW21,OUT010,241.82738884379714
245,FDY19,OUT017,1980.0305055933788
246,DRE03,OUT013,694.448487662408
247,NCC55,OUT049,651.3024519913079
248,FDH52,OUT010,152.4932357548117
249,FDO09,OUT017,4602.416215036953
250,FDU43,OUT045,3840.6825074165968
251,FDX09,OUT010,433.67331473061597
252,FDH40,OUT019,251.56616060508287
253,FDW58,OUT017,1685.741881930292
254,FDC47,OUT017,3976.980289981884
255,NCR41,OUT035,1573.1738335720675
256,DRG49,OUT035,4350.919817518704
257,FDC52,OUT027,4005.3953659533213
258,FDY13,OUT046,1130.9271758315576
259,FDY35,OUT013,668.1945451658862
260,FDI35,OUT017,3546.8495378219022
261,NCU18,OUT049,2226.164329757422
262,FDY33,OUT018,2506.0416394965423
263,FDC15,OUT027,4040.289667520448
264,FDU01,OUT049,3268.1212580050587
265,NCU42,OUT046,2744.822845915056
266,NCV29,OUT018,2626.349256598808
267,NCY30,OUT017,3198.491738358924
268,FDQ46,OUT049,1774.721804369644
269,FDG58,OUT027,3998.518400789232
270,FDK33,OUT017,3653.8573459414097
271,NCD07,OUT045,1812.807988599209
272,NCX29,OUT027,3928.7198626488184
273,NCT42,OUT013,2330.5046865208183
274,DRN59,OUT035,732.5149811041082
275,FDI44,OUT035,1341.3334917366917
276,FDA45,OUT049,2848.5085396958834
277,FDP31,OUT045,1106.8376966216385
278,FDY01,OUT046,2048.263616972799
279,FDT09,OUT018,1849.8855513729222
280,DRH03,OUT027,2572.0887008070904
281,FDA36,OUT018,2847.618870875309
282,NCF31,OUT017,2447.6655781899085
283,FDG14,OUT049,2434.507002921865
284,FDG28,OUT027,5981.810408355525
285,FDU14,OUT049,3993.4534555568157
286,FDY47,OUT019,286.89733393366384
287,FDI56,OUT049,1395.6953979521668
288,DRD01,OUT013,772.2704955833569
289,FDM22,OUT046,865.8279503849983
290,FDH33,OUT013,648.6262025581764
291,DRZ24,OUT013,1938.5124125920502
292,NCQ38,OUT046,1653.8508642144373
293,FDO16,OUT027,2229.8094586238694
294,FDU07,OUT027,3943.469820968306
295,NCB07,OUT013,3075.7685511567606
296,FDU48,OUT045,1925.4698745356893
297,NCM43,OUT045,2800.786357787643
298,FDR31,OUT010,361.3131363766242
299,DRK49,OUT018,614.9869356786445
300,NCI30,OUT010,521.1082680981477
301,DRD60,OUT017,3093.9872541473346
302,NCG19,OUT046,3480.935412183441
303,FDH12,OUT035,1681.0919415180642
304,FDM32,OUT035,1444.0701869553707
305,FDM27,OUT035,2727.1471527833983
306,NCU53,OUT027,4037.4069525884847
307,NCQ18,OUT046,1612.4973893867236
308,FDS10,OUT013,2921.8332969926746
309,FDB33,OUT027,4088.583471958939
310,FDI12,OUT013,1376.549173306345
311,NCW42,OUT013,3666.4788112989245
312,NCC06,OUT018,1829.6966580789792
313,FDW02,OUT017,1981.5092130027501
314,NCD43,OUT017,1677.6524975356542
315,FDM57,OUT018,1120.3721802585874
316,FDA58,OUT017,3887.165738798119
317,FDK56,OUT046,3161.9269852950715
318,FDP52,OUT045,3777.577379967975
319,FDW20,OUT018,1771.8460835132357
320,FDS52,OUT049,1598.9907899688724
321,NCT29,OUT018,1749.1231534351903
322,NCL54,OUT013,2888.3051821204235
323,FDC05,OUT045,2885.8892716906657
324,FDF34,OUT035,3000.867611735674
325,FDP03,OUT027,3457.2562317374473
326,FDD32,OUT010,228.99858534205717
327,FDZ10,OUT045,2098.8412554954307
328,FDZ40,OUT035,836.5388096918218
329,FDD51,OUT018,627.1954666145622
330,NCY30,OUT019,429.94711932852033
331,FDP58,OUT017,3644.081668403524
332,FDV49,OUT017,4569.759492644401
333,FDY24,OUT019,135.19425012707978
334,NCO55,OUT017,1692.4463053505967
335,FDR13,OUT017,2022.7748403470882
336,FDS51,OUT017,951.8756969938347
337,FDP26,OUT045,1577.4504164737484
338,NCB54,OUT027,3572.9150229179154
339,FDF32,OUT017,3055.56837503227
340,FDN31,OUT018,2798.3473916705434
341,DRM48,OUT017,647.1873134715479
342,FDN20,OUT049,2855.2755746857147
343,DRL01,OUT046,3700.96713614378
344,FDV56,OUT049,1615.261337557591
345,DRH13,OUT027,2575.7133150404943
346,FDA03,OUT017,2617.6311949200194
347,FDF47,OUT027,6043.536626465985
348,FDX32,OUT046,2585.6302694268334
349,FDX57,OUT049,1601.5614601145955
350,NCA30,OUT045,3040.0390204562973
351,FDO49,OUT013,674.953987707112
352,FDL04,OUT019,249.66970127526992
353,DRM48,OUT035,653.2334678453786
354,FDR16,OUT013,3629.469850052132
355,NCC19,OUT018,2893.44354995903
356,NCE42,OUT045,3486.6590492324344
357,FDY24,OUT017,929.8102769554191
358,FDH19,OUT049,2823.995173109753
359,FDJ46,OUT013,2744.878089666508
360,FDN45,OUT010,520.4681380527868
361,FDY08,OUT035,2221.549085228929
362,FDZ37,OUT035,1384.8681521066305
363,NCT30,OUT045,741.6628562193612
364,DRY23,OUT018,648.9032723226085
365,NCZ30,OUT018,1798.7340791731244
366,FDC44,OUT018,1723.0164516043774
367,FDB45,OUT035,1565.1698506391622
368,FDY04,OUT013,2655.074522641978
369,FDM27,OUT046,2698.7167536578145
370,FDZ43,OUT017,4039.6964016182874
371,FDT39,OUT019,428.0317449449409
372,NCC06,OUT019,279.99886806015303
373,FDL15,OUT027,3981.46165094788
374,FDL57,OUT017,4210.349125302684
375,FDU08,OUT046,1493.307847787143
376,FDK40,OUT017,4478.424086415792
377,FDQ12,OUT010,500.47952583379197
378,FDS48,OUT017,2582.350660274591
379,FDP09,OUT045,3610.1491079824445
380,FDW21,OUT049,1660.8293502466474
381,FDY25,OUT035,3199.6930923635764
382,DRE13,OUT017,1424.2711358269516
383,FDV43,OUT019,129.91241568485103
384,FDD22,OUT045,1770.303258189583
385,FDM46,OUT019,257.99037658219834
386,NCO30,OUT010,488.1367415919806
387,FDM25,OUT046,2834.9375298888194
388,NCN41,OUT049,1989.2954079277613
389,FDU24,OUT045,1651.9764384545579
390,FDZ50,OUT046,3208.294714636574
391,FDP45,OUT013,4042.3903313125065
392,NCM54,OUT045,1874.7081788232556
393,FDW10,OUT019,426.5035173740546
394,FDP20,OUT017,2005.714676327596
395,FDK32,OUT046,2586.2851780743417
396,FDN52,OUT049,1379.0813806678498
397,FDM58,OUT045,1897.7966680035574
398,FDZ46,OUT027,2733.724717278009
399,NCA18,OUT018,1725.4530278656298
400,FDD35,OUT046,2003.4054761104976
401,NCK31,OUT035,736.8506235536026
402,FDI40,OUT027,2639.744066952563
403,FDT50,OUT019,250.32121931189266
404,NCT06,OUT046,2667.9394750679803
405,FDT31,OUT035,3086.6809540378767
406,FDT45,OUT049,812.1794804362887
407,FDT13,OUT045,3102.5408879008564
408,FDO50,OUT045,1459.4050655161245
409,NCU18,OUT010,269.7412114109999
410,NCR54,OUT049,3218.978158924766
411,NCO18,OUT018,2597.6478341743987
412,FDU09,OUT045,821.929410652415
413,FDT13,OUT018,2722.889599699369
414,FDE09,OUT046,1726.8240022747864
415,NCK53,OUT019,265.00831019361686
416,FDG45,OUT049,3591.532458079959
417,DRH15,OUT035,733.3317845182476
418,FDO21,OUT019,533.4169701916676
419,FDD14,OUT027,5234.349488833393
420,FDC09,OUT046,1604.9898451054285
421,FDH45,OUT027,1453.4945441636578
422,FDV32,OUT046,1082.2393542987757
423,FDG12,OUT035,2122.1404996213414
424,FDS32,OUT013,2147.9508786238453
425,NCL55,OUT018,3554.5462754626874
426,DRE01,OUT035,4088.900376187648
427,DRE15,OUT049,1277.433521694715
428,NCL42,OUT045,3766.3129689725583
429,FDP31,OUT013,1036.5225827798731
430,FDN33,OUT018,1286.9301811838598
431,FDZ59,OUT046,2514.2713371514456
432,FDE45,OUT010,426.67549471136954
433,FDJ07,OUT013,2060.016635423221
434,FDQ45,OUT018,2741.111785732555
435,FDM33,OUT027,5682.060787001562
436,FDO15,OUT010,196.95823202949035
437,FDM46,OUT013,1577.0968340983018
438,FDR03,OUT045,3316.690092901173
439,FDY49,OUT018,2411.639420276888
440,FDQ60,OUT045,1879.5267428150632
441,FDW10,OUT049,2795.463295410876
442,FDO51,OUT049,751.7552354150606
443,FDJ40,OUT018,1330.6474305356712
444,FDS20,OUT018,2692.694740425461
445,FDU45,OUT013,1873.6320788815124
446,FDV02,OUT035,2871.0819175737106
447,FDN09,OUT046,3790.2085162744706
448,NCM55,OUT027,4938.044362562625
449,FDN23,OUT018,2157.5573908187207
450,FDY31,OUT010,384.2269987792864
451,FDW03,OUT010,243.1504342260762
452,FDD14,OUT046,3269.706691135243
453,FDV23,OUT017,1956.851274651392
454,DRI03,OUT045,2664.2357988086146
455,FDN13,OUT035,1590.4818420324937
456,FDF45,OUT027,1608.1042910113576
457,FDU46,OUT035,1375.9774712434744
458,FDB57,OUT049,3781.022604523989
459,FDV12,OUT049,1578.8008521785073
460,FDQ58,OUT013,2470.0399885041597
461,NCA18,OUT017,1923.0697054114626
462,FDH52,OUT049,946.1112836312327
463,FDM24,OUT018,2243.880993114289
464,NCP43,OUT027,4734.810445638539
465,NCO18,OUT019,420.14154699060884
466,FDM32,OUT017,1360.282327598043
467,NCL07,OUT017,632.286159175731
468,FDK03,OUT013,4112.9688739052835
469,FDP59,OUT017,1665.7298646163115
470,FDQ24,OUT049,4090.4720449927695
471,FDQ16,OUT018,1396.994828545352
472,FDU44,OUT013,2613.509186777881
473,FDH28,OUT010,120.9675201314096
474,FDV28,OUT019,128.47905616444643
475,FDM22,OUT045,841.9840460325178
476,FDR56,OUT046,3088.721302934413
477,FDV39,OUT049,3062.7559276511
478,FDU37,OUT019,250.61575381147676
479,FDQ11,OUT010,679.4714154983199
480,FDX02,OUT045,3739.3516219415455
481,NCS42,OUT018,1286.922426911145
482,FDY57,OUT027,2628.2092882779793
483,FDB21,OUT049,4003.944065504173
484,FDE28,OUT017,3877.729026979645
485,FDQ55,OUT017,2176.2220044405412
486,FDA48,OUT049,3653.9941226883925
487,FDZ19,OUT045,2595.679831668809
488,NCC43,OUT045,4026.464955298665
489,NCV18,OUT046,1558.917910427509
490,NCA42,OUT018,2336.125399431189
491,FDY45,OUT046,3960.8641786352155
492,NCC30,OUT045,2935.978568730471
493,FDM57,OUT013,1352.068684294446
494,FDL09,OUT010,426.6071310643819
495,FDB09,OUT027,3540.726028396384
496,FDT44,OUT035,1988.884063423858
497,NCT06,OUT027,4096.144243030678
498,FDX26,OUT049,3355.730494270066
499,FDK32,OUT013,2592.6712020608
500,DRA12,OUT046,2141.936160463415
501,FDO46,OUT010,477.20157498212177
502,FDE52,OUT013,1327.9475549609567
503,NCH42,OUT045,3849.770501024304
504,FDV08,OUT035,709.0749577977897
505,FDB47,OUT018,3128.1961232475815
506,FDC28,OUT010,243.06109062408075
507,FDD22,OUT046,1924.1076484811845
508,FDS07,OUT027,2888.8116962217573
509,DRI13,OUT045,3876.8895989293974
510,FDG32,OUT018,3313.090231744512
511,FDU14,OUT017,4030.1572461078676
512,FDD28,OUT019,146.232521751927
513,NCP41,OUT017,1785.8323359700887
514,FDS08,OUT049,2642.9560713253054
515,FDX47,OUT045,2475.873488884508
516,FDC53,OUT019,259.43679617635803
517,FDQ19,OUT035,3880.187282972524
518,FDL14,OUT045,2464.3593107885604
519,FDM33,OUT019,527.7520920370658
520,FDA51,OUT045,2077.444601581481
521,FDZ27,OUT018,669.1264012748512
522,FDT04,OUT046,651.3152020342452
523,DRC13,OUT049,2033.9704072810155
524,FDR16,OUT027,5385.486403484466
525,FDQ03,OUT027,5903.686774501116
526,FDE38,OUT035,2606.260705083897
527,DRH23,OUT027,1560.0438001212058
528,FDT11,OUT019,567.9818309630105
529,FDD09,OUT035,3161.0258151623916
530,FDR40,OUT045,1323.0208740045987
531,FDX07,OUT017,3190.3231359076435
532,FDR07,OUT035,1510.738686084339
533,FDA51,OUT017,2051.276254280027
534,FDT59,OUT019,541.8700576983978
535,FDF20,OUT017,3066.296828489027
536,FDR13,OUT045,1933.2555494137332
537,FDY26,OUT049,3682.472738800267
538,FDW04,OUT017,2012.9761422985196
539,FDK52,OUT017,4045.898109714603
540,FDN60,OUT049,2709.0638686817815
541,FDM09,OUT019,426.2528897185755
542,FDP46,OUT049,1342.6329921053812
543,FDB50,OUT019,252.47874449844767
544,NCQ29,OUT049,4178.388400436274
545,FDP16,OUT027,5942.78438790644
546,FDX33,OUT018,2545.358312064558
547,FDP07,OUT010,538.1412864159964
548,FDN22,OUT046,3730.2098242541133
549,FDF39,OUT049,4254.473611878554
550,FDS21,OUT017,966.1225121328087
551,NCM42,OUT013,1717.0259078684521
552,FDK50,OUT019,424.98538040999983
553,DRF13,OUT027,3919.741364382772
554,FDH35,OUT018,2398.3073579567526
555,FDP60,OUT018,1269.4763048690927
556,DRJ49,OUT027,3500.2441795849845
557,NCT42,OUT019,426.91742674571105
558,FDE38,OUT049,2610.258492592787
559,FDI04,OUT049,3068.9002644280913
560,NCH54,OUT045,2711.1663029946358
561,FDT56,OUT049,924.0568505758913
562,DRD15,OUT018,3342.4160012844604
563,FDV58,OUT013,2985.836468126765
564,FDP21,OUT049,3283.3247931951373
565,FDH05,OUT013,3773.190436104925
566,FDR10,OUT027,4074.780345008574
567,NCP06,OUT045,2437.0415423145987
568,FDF33,OUT049,1756.6143093527178
569,DRK37,OUT013,3064.16936706621
570,DRH49,OUT045,1282.8159908046719
571,FDT58,OUT013,2578.79283890353
572,FDD41,OUT018,1331.5767639865576
573,FDP40,OUT018,1749.7896477651414
574,FDM51,OUT027,2607.1086763999806
575,FDO45,OUT010,232.2660057135054
576,FDW33,OUT010,240.38678391923216
577,FDY24,OUT045,884.3008383087175
578,FDB10,OUT010,520.997384246712
579,FDM40,OUT035,2314.436940319088
580,NCI06,OUT017,3141.5164005905954
581,FDW12,OUT019,341.9431829208933
582,FDX48,OUT027,3995.540301746142
583,NCW05,OUT027,2749.127373098706
584,FDX27,OUT017,1481.4592660212957
585,DRM37,OUT045,2882.9214609250816
586,FDA38,OUT045,3740.872264971606
587,FDR36,OUT046,706.1137050153687
588,FDZ45,OUT046,2954.1088015769947
589,FDG05,OUT017,2551.309149775424
590,FDK28,OUT013,3940.041265553807
591,FDV47,OUT045,1337.2849671801166
592,FDN21,OUT045,2705.26113119201
593,FDP20,OUT027,3546.6088251507563
594,FDI35,OUT045,3400.1928638908407
595,DRY23,OUT013,678.2970416714114
596,FDA56,OUT017,2118.163839109013
597,FDB09,OUT013,1961.346931163781
598,NCO26,OUT027,2788.538540787535
599,FDQ49,OUT018,2566.056015198504
600,FDI52,OUT027,3548.8079148085426
601,FDZ44,OUT027,2843.4676917658007
602,FDZ09,OUT018,2545.6969897551166
603,FDY03,OUT049,2436.957706594896
604,NCG42,OUT017,2098.773688052306
605,DRI13,OUT027,5787.765519375032
606,FDQ32,OUT013,2021.19904647143
607,FDW16,OUT035,1452.7347212100663
608,FDU27,OUT046,820.4550774172362
609,FDR28,OUT010,393.64076985399953
610,FDQ49,OUT010,403.5065052383652
611,FDS37,OUT046,2034.2187108742914
612,FDW26,OUT018,3250.410760275506
613,FDX12,OUT018,3432.272730560264
614,NCP06,OUT013,2376.2538654859623
615,FDW45,OUT010,365.6017878452843
616,NCN30,OUT049,1562.254584197372
617,FDN24,OUT049,815.3874421134267
618,NCL41,OUT027,1360.1681561388375
619,FDR02,OUT019,263.06332053003365
620,FDD09,OUT010,439.9629561238768
621,FDS33,OUT010,237.20853586536305
622,FDU22,OUT045,1838.039084126754
623,FDI53,OUT013,2575.097182228352
624,DRH01,OUT049,2845.5382788929187
625,FDX32,OUT013,2291.597629257302
626,NCP30,OUT018,623.7285541908038
627,FDB60,OUT045,2976.169103012317
628,FDB14,OUT049,1489.9203719036307
629,NCP02,OUT035,815.5266288637863
630,FDJ10,OUT017,2202.5270755384704
631,FDG34,OUT046,1923.3957517931267
632,NCB18,OUT017,1544.3858856869338
633,FDM16,OUT049,1148.8971110960713
634,FDW25,OUT018,1189.4003965065335
635,FDB35,OUT010,223.01060544004665
636,DRN11,OUT013,2277.1096008009345
637,FDF41,OUT019,529.7579678760915
638,FDH16,OUT045,1361.0942876142174
639,NCQ50,OUT018,3049.1197576206155
640,DRH23,OUT018,687.9395872961139
641,DRJ37,OUT013,2361.5432753133277
642,DRJ24,OUT027,5074.990970180862
643,FDY16,OUT035,3262.7446876933113
644,FDQ27,OUT045,1843.664411109847
645,FDZ33,OUT045,2519.6927914196112
646,FDF29,OUT045,2064.3506474766446
647,FDA08,OUT049,2656.9278732138796
648,FDG31,OUT046,1060.4369608877416
649,FDE34,OUT019,486.2676908327665
650,NCR30,OUT027,1736.6867778152346
651,FDV33,OUT035,4194.953780838387
652,DRZ24,OUT018,1739.546988623476
653,NCL54,OUT035,2904.296306017402
654,FDR12,OUT049,2939.0952568645316
655,NCC54,OUT046,3803.8221394959282
656,DRN59,OUT013,706.5007325044331
657,FDX50,OUT019,253.63724467194942
658,FDV31,OUT027,4721.69258300971
659,NCA29,OUT027,4484.453485500706
660,FDW60,OUT049,2794.2506953910897
661,FDX08,OUT017,3179.1552354320575
662,DRD49,OUT013,4066.908155277188
663,FDD33,OUT046,3739.332539525916
664,FDW35,OUT013,683.7510291963877
665,FDJ36,OUT017,1723.2035586132697
666,FDV51,OUT035,2879.1402715091403
667,FDW36,OUT046,1754.6932447307856
668,FDH35,OUT046,2722.386604663086
669,NCS30,OUT027,3512.6295439492737
670,FDN49,OUT017,628.4928148128339
671,FDL08,OUT018,3454.7718909858754
672,FDI09,OUT013,3535.68049660457
673,FDP19,OUT018,1840.8983867706602
674,FDU21,OUT010,121.41932231219502
675,NCP41,OUT045,1678.4926600096223
676,FDY10,OUT013,1762.7763033374356
677,FDP12,OUT018,614.099435610267
678,NCN26,OUT049,2013.793137067431
